2025-01-20 11:59:59, INFO, Detecting environment and installing necessary tools...
2025-01-20 12:00:02, ERROR, Unsupported operating system. Please set up dependencies manually.
2025-01-20 12:04:41, INFO, Detecting environment and installing necessary tools...
2025-01-20 12:04:50, INFO, Windows or Git Bash detected. Checking for Git Bash environment...
2025-01-20 12:04:54, INFO, Git Bash detected. Ensure dependencies are installed via pacman or manual setup.
2025-01-20 12:04:55, INFO, python is already installed.
2025-01-20 12:04:57, INFO, curl is already installed.
2025-01-20 12:04:59, INFO, Installing jq using pacman...
2025-01-20 12:05:01, ERROR, Failed to install jq. Install it manually.
2025-01-20 12:05:02, INFO, git is already installed.
2025-01-20 12:05:05, INFO, Environment setup and tool verification complete.
2025-01-20 12:49:52, INFO, Detecting environment and installing necessary tools...
2025-01-20 12:49:59, INFO, Windows or Git Bash detected. Checking for Git Bash environment...
2025-01-20 12:50:07, INFO, Git Bash detected. Ensure dependencies are installed via pacman or manual setup.
2025-01-20 12:50:10, INFO, python is already installed.
2025-01-20 12:50:12, INFO, curl is already installed.
2025-01-20 12:50:14, INFO, Installing jq using pacman...
2025-01-20 12:50:16, ERROR, Failed to install jq. Install it manually.
2025-01-20 12:50:17, INFO, git is already installed.
2025-01-20 12:50:18, INFO, Environment setup and tool verification complete.
2025-01-20 14:14:59, INFO, Detecting environment and installing necessary tools...
2025-01-20 14:15:05, INFO, Windows or Git Bash detected. Checking for Git Bash environment...
2025-01-20 14:15:08, INFO, Git Bash detected. Ensure dependencies are installed via pacman or manual setup.
2025-01-20 14:15:09, INFO, python is already installed.
2025-01-20 14:15:10, INFO, curl is already installed.
2025-01-20 14:15:12, INFO, Installing jq using pacman...
2025-01-20 14:15:15, ERROR, Failed to install jq. Install it manually.
2025-01-20 14:15:17, INFO, git is already installed.
2025-01-20 14:15:19, INFO, Environment setup and tool verification complete.
2025-01-20 14:23:46, INFO, Detecting environment and installing necessary tools...
2025-01-20 14:23:51, INFO, Windows or Git Bash detected. Checking for Git Bash environment...
2025-01-20 14:23:54, INFO, Git Bash detected. Ensure dependencies are installed via pacman or manual setup.
2025-01-20 14:23:57, INFO, python is already installed.
2025-01-20 14:23:59, INFO, curl is already installed.
2025-01-20 14:24:00, INFO, Installing jq using pacman...
2025-01-20 14:24:02, ERROR, Failed to install jq. Install it manually.
2025-01-20 14:24:03, INFO, git is already installed.
2025-01-20 14:24:04, INFO, Environment setup and tool verification complete.
